date,brake pads
2025-05-01,44.45309734513275
2025-05-02,42.743362831858406
2025-05-03,49.58230088495576
2025-05-04,41.60353982300885
2025-05-05,43.313274336283186
2025-05-06,46.73274336283186
2025-05-07,47.872566371681415
2025-05-08,41.60353982300885
2025-05-09,42.17345132743363
2025-05-10,56.99115044247788
2025-05-11,43.313274336283186
2025-05-12,47.30265486725664
2025-05-13,53.001769911504425
2025-05-14,45.5929203539823
2025-05-15,47.872566371681415
2025-05-16,42.17345132743363
2025-05-17,41.03362831858407
2025-05-18,36.47433628318584
2025-05-19,47.872566371681415
2025-05-20,48.442477876106196
2025-05-21,44.45309734513275
2025-05-22,37.04424778761062
2025-05-23,45.02300884955752
2025-05-24,39.32389380530974
2025-05-25,37.6141592920354
2025-05-26,41.03362831858407
2025-05-27,44.45309734513275
2025-05-28,42.17345132743363
2025-05-29,42.17345132743363
2025-05-30,47.30265486725664
2025-05-31,46.16283185840708
2025-06-01,40.46371681415929
2025-06-02,46.16283185840708
2025-06-03,43.88318584070797
2025-06-04,43.88318584070797
2025-06-05,41.60353982300885
2025-06-06,38.184070796460176
2025-06-07,41.60353982300885
2025-06-08,43.88318584070797
2025-06-09,47.872566371681415
2025-06-10,47.30265486725664
2025-06-11,45.02300884955752
2025-06-12,43.313274336283186
2025-06-13,37.6141592920354
2025-06-14,49.012389380530976
2025-06-15,38.184070796460176
2025-06-16,55.28141592920354
2025-06-17,43.88318584070797
2025-06-18,41.60353982300885
2025-06-19,44.45309734513275
2025-06-20,45.5929203539823
2025-06-21,46.16283185840708
2025-06-22,40.46371681415929
2025-06-23,44.45309734513275
2025-06-24,44.45309734513275
2025-06-25,50.72212389380531
2025-06-26,46.16283185840708
2025-06-27,48.442477876106196
2025-06-28,43.88318584070797
2025-06-29,38.75398230088496
2025-06-30,41.58503620273532
2025-07-01,44.45309734513275
2025-07-02,39.86419951729687
2025-07-03,40.43781174577635
2025-07-04,39.29058728881738
2025-07-05,38.143362831858404
2025-07-06,35.563958165728074
2025-07-07,48.468382944489136
2025-07-08,45.60032180209171
2025-07-09,45.888978278358806
2025-07-10,53.6308930008045
2025-07-11,36.99613837489944
2025-07-12,43.30587288817377
2025-07-13,50.1892196299276
2025-07-14,45.60032180209171
2025-07-15,46.18503620273532
2025-07-16,45.607723250201126
2025-07-17,42.72115848753017
2025-07-18,47.3396621078037
2025-07-19,44.45309734513274
2025-07-20,40.411906677393404
2025-07-21,57.153982300884955
2025-07-22,50.80353982300885
2025-07-23,48.494288012872076
2025-07-24,46.762349155269504
2025-07-25,49.07160096540627
2025-07-26,54.844730490748184
2025-07-27,40.411906677393404
2025-07-28,50.80353982300885
2025-07-29,50.80353982300885
2025-07-30,47.3396621078037
2025-07-31,47.91697506033789
2025-08-01,50.22622687047466
2025-08-02,42.72115848753017
2025-08-03,50.80353982300885
2025-08-04,41.56653258246178
2025-08-05,57.73129525341914
2025-08-06,54.26741753821399
2025-08-07,55.42204344328238
2025-08-08,51.95816572807723
2025-08-09,47.91697506033789
2025-08-10,50.22622687047466
2025-08-11,57.153982300884955
2025-08-12,50.80353982300885
2025-08-13,47.91697506033789
2025-08-14,46.18503620273532
2025-08-15,47.91697506033789
2025-08-16,46.762349155269504
2025-08-17,43.87578439259855
2025-08-18,49.07160096540627
2025-08-19,47.91697506033789
